x,T,CH4,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,H2,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,C3H7,C3H8,CH2CHO,CH3CHO,N2,AR
3.51E-04,1706.896091,3.73E-33,1.80E-08,7.35E-06,0.081445742,1.95E-04,0.078761877,4.14E-07,2.39E-08,1.30E-27,2.05E-29,4.15E-30,6.01E-30,1.29E-29,7.16E-07,1.72E-05,0.096311287,8.55E-16,1.34E-20,1.21E-28,1.58E-30,2.28E-31,0,9.12E-35,8.85E-34,2.11E-30,0,0,9.51E-32,8.70E-35,1.49E-36,4.38E-14,1.50E-15,2.88E-18,5.43E-20,5.16E-13,0.001810846,5.01E-06,1.51E-07,1.40E-09,1.75E-25,9.82E-26,1.05E-33,7.96E-32,7.82E-29,4.63E-28,2.07E-21,3.48E-19,0,0,1.16E-34,0,0.74144389,4.49E-12
3.85E-04,1813.174867,5.05E-31,8.42E-08,1.91E-05,0.066965649,3.82E-04,0.086158818,6.49E-07,3.73E-08,1.39E-25,1.81E-27,5.28E-28,6.69E-28,2.49E-27,2.44E-06,6.57E-05,0.105410044,1.42E-14,1.63E-19,1.64E-27,3.11E-29,1.52E-30,3.08E-36,2.53E-32,2.45E-31,5.83E-28,6.99E-36,0,1.00E-29,1.17E-32,4.12E-34,7.46E-13,1.51E-14,4.81E-17,1.28E-17,3.42E-12,0.002390655,4.75E-06,1.96E-07,3.58E-09,8.53E-24,5.20E-24,2.69E-31,2.93E-30,2.31E-30,1.27E-25,8.71E-20,4.70E-18,0,0,3.21E-32,0,0.73860036,2.92E-11
4.18E-04,1914.882031,4.33E-30,3.22E-07,4.15E-05,0.052541719,6.64E-04,0.093475644,9.03E-07,5.26E-08,6.98E-24,1.28E-25,2.96E-26,3.05E-26,9.26E-27,7.24E-06,2.15E-04,0.114350747,1.37E-13,3.81E-18,1.08E-25,2.34E-27,3.84E-28,2.99E-34,2.82E-33,2.47E-32,3.65E-30,1.78E-36,0,6.18E-28,4.67E-31,1.04E-31,1.09E-10,1.25E-13,5.93E-16,3.21E-15,1.23E-11,0.002916529,4.20E-06,2.35E-07,7.87E-09,1.56E-21,7.90E-22,6.71E-29,1.62E-28,3.01E-28,3.20E-23,1.89E-17,4.77E-17,0,0,2.30E-33,0,0.735782097,4.39E-11
4.52E-04,2010.994294,1.65E-28,1.04E-06,7.64E-05,0.038363326,0.001038689,0.100673321,1.11E-06,6.73E-08,2.16E-22,4.32E-24,9.05E-25,1.05E-24,2.64E-25,1.94E-05,6.23E-04,0.122884184,1.16E-12,3.95E-17,2.34E-24,5.77E-26,9.74E-27,3.64E-32,2.97E-32,1.99E-32,1.66E-32,2.18E-36,0,2.45E-26,2.35E-29,7.65E-31,4.59E-10,1.50E-12,1.03E-14,7.42E-13,4.79E-11,0.003272473,3.40E-06,2.61E-07,1.51E-08,4.55E-20,1.43E-19,1.54E-26,3.39E-27,5.29E-26,7.39E-21,4.32E-15,3.65E-16,0,0,1.15E-33,0,0.733043249,1.75E-10
4.85E-04,2099.13183,1.63E-26,2.92E-06,1.17E-04,0.024834374,0.001450493,0.107688665,1.15E-06,7.62E-08,3.51E-21,1.72E-22,3.03E-23,1.51E-23,7.54E-24,4.86E-05,0.001653574,0.130439834,6.83E-12,8.67E-16,2.20E-22,5.13E-24,4.86E-25,4.14E-30,4.22E-30,4.01E-34,2.62E-33,0,0,6.68E-25,2.16E-27,4.20E-33,1.53E-09,1.75E-10,1.25E-12,1.59E-10,1.55E-10,0.003305477,2.40E-06,2.61E-07,2.49E-08,8.33E-19,2.99E-17,3.28E-24,1.52E-25,1.10E-23,1.58E-18,9.24E-13,2.79E-15,0,0,2.53E-33,0,0.730455238,1.44E-10
5.18E-04,2173.562675,1.38E-25,7.13E-06,1.39E-04,0.012818802,0.001744174,0.114384731,9.41E-07,7.20E-08,4.01E-20,7.92E-21,1.04E-21,2.43E-22,1.00E-22,1.18E-04,0.004139362,0.135708883,2.11E-10,1.86E-14,4.45E-21,1.20E-22,6.08E-24,4.12E-28,2.17E-28,5.41E-34,1.88E-33,0,0,1.34E-23,4.55E-26,9.33E-32,3.92E-09,5.47E-10,1.94E-10,5.40E-10,3.91E-10,0.00283492,1.33E-06,2.22E-07,3.42E-08,1.06E-17,5.32E-15,6.35E-22,4.01E-24,2.15E-21,3.17E-16,1.85E-10,6.09E-14,0,0,1.13E-31,9.46E-36,0.728102371,1.48E-11
5.52E-04,2219.139236,2.50E-24,1.46E-05,1.06E-04,0.004155593,0.001624898,0.120332944,4.82E-07,4.87E-08,2.03E-19,7.08E-20,1.23E-20,1.69E-21,1.11E-21,2.93E-04,0.010014623,0.135652132,9.46E-10,1.24E-13,6.01E-20,1.59E-21,1.12E-22,8.04E-27,6.09E-27,2.60E-32,3.53E-31,0,0,1.71E-22,1.17E-24,3.52E-30,6.77E-09,1.29E-09,5.91E-10,1.96E-09,8.11E-10,0.0017858,4.45E-07,1.39E-07,3.44E-08,1.22E-16,9.99E-13,1.20E-19,3.12E-23,2.20E-20,2.79E-15,6.98E-10,2.28E-13,0,0,6.79E-30,1.35E-33,0.726019616,6.83E-11
5.85E-04,2212.405266,2.79E-23,2.17E-05,4.29E-05,7.36E-04,0.001044652,0.124476235,1.30E-07,2.07E-08,3.51E-19,3.90E-19,5.82E-20,7.65E-21,1.08E-20,6.97E-04,0.021453307,0.12685406,3.02E-09,1.97E-12,9.08E-19,2.43E-20,2.37E-21,5.78E-26,2.16E-26,6.34E-31,1.36E-32,0,0,8.70E-22,6.45E-24,6.08E-30,6.28E-09,1.87E-09,1.35E-09,7.18E-09,1.19E-09,7.37E-04,7.80E-08,5.71E-08,2.17E-08,1.13E-14,1.83E-10,2.20E-17,9.61E-23,1.12E-19,2.15E-14,2.28E-09,5.26E-13,0,0,2.97E-28,1.62E-31,0.723936509,1.44E-10
6.19E-04,2170.162195,4.16E-21,2.38E-05,1.35E-05,1.24E-04,5.70E-04,0.12654344,2.98E-08,7.60E-09,2.83E-19,2.37E-18,1.17E-18,3.90E-19,8.70E-19,0.001332179,0.035357399,0.11418261,5.82E-09,2.74E-10,1.39E-16,3.64E-18,4.14E-19,7.54E-26,5.72E-25,9.88E-29,2.00E-30,2.38E-35,0,4.08E-21,5.42E-22,6.81E-28,3.80E-09,1.77E-09,2.10E-09,1.98E-08,1.25E-09,2.74E-04,1.25E-08,2.11E-08,1.09E-08,2.99E-14,7.75E-10,8.03E-17,1.12E-21,2.02E-19,4.50E-14,5.11E-09,6.87E-13,0,0,5.16E-26,2.96E-29,0.721579997,7.77E-11
6.52E-04,2119.123094,2.10E-21,2.23E-05,4.39E-06,2.53E-05,3.11E-04,0.127170872,7.61E-09,2.97E-09,1.47E-19,3.94E-18,1.63E-18,1.02E-18,1.19E-18,0.002119308,0.048595207,0.102558237,8.19E-09,5.92E-10,3.55E-16,1.03E-17,5.42E-19,7.76E-26,2.37E-25,2.04E-28,1.65E-30,1.32E-35,0,5.00E-21,3.57E-22,8.60E-29,2.01E-09,1.38E-09,2.58E-09,4.20E-08,1.12E-09,1.10E-04,2.42E-09,8.39E-09,5.37E-09,5.78E-14,2.10E-09,2.94E-16,1.22E-21,2.21E-19,6.02E-14,8.73E-09,7.13E-13,0,0,1.06E-25,2.62E-29,0.719083621,8.24E-11
6.86E-04,2066.688491,3.34E-21,1.93E-05,1.50E-06,6.06E-06,1.72E-04,0.126731218,2.14E-09,1.23E-09,7.09E-20,4.04E-18,2.19E-18,1.46E-18,1.58E-18,0.0030202,0.060615914,0.092846232,9.75E-09,1.04E-09,5.98E-16,1.75E-17,1.11E-18,4.70E-26,2.79E-25,2.58E-28,2.34E-30,2.08E-35,0,6.80E-21,7.11E-22,1.24E-28,1.01E-09,9.85E-10,2.79E-09,7.61E-08,9.27E-10,4.70E-05,5.46E-10,3.57E-09,2.67E-09,8.00E-14,4.44E-09,5.96E-16,1.46E-21,1.87E-19,6.28E-14,1.28E-08,6.34E-13,0,0,2.15E-25,7.59E-29,0.716539953,7.95E-11
7.19E-04,2014.530287,7.49E-21,1.59E-05,5.27E-07,1.60E-06,9.65E-05,0.125455134,6.36E-10,5.25E-10,3.59E-20,3.23E-18,2.70E-18,1.57E-18,2.00E-18,0.004011404,0.071502727,0.084915815,1.05E-08,1.61E-09,8.23E-16,2.35E-17,2.33E-18,2.25E-26,4.13E-25,2.51E-28,3.90E-30,4.04E-35,1.75E-36,8.85E-21,1.75E-21,3.34E-28,4.94E-10,6.62E-10,2.77E-09,1.24E-07,7.28E-10,2.10E-05,1.35E-10,1.59E-09,1.34E-09,9.03E-14,8.04E-09,9.26E-16,1.64E-21,1.35E-19,5.65E-14,1.72E-08,5.18E-13,0,0,3.84E-25,2.62E-28,0.713979132,7.40E-11
7.53E-04,1963.083401,1.04E-19,1.27E-05,1.88E-07,4.46E-07,5.42E-05,0.12352017,1.96E-10,2.28E-10,1.62E-20,2.45E-18,2.62E-18,1.66E-18,2.04E-18,0.005074233,0.081440888,0.078475922,1.05E-08,2.30E-09,1.04E-15,3.01E-17,3.12E-18,9.91E-27,2.95E-25,2.10E-28,3.40E-30,3.43E-35,2.06E-36,8.55E-21,2.07E-21,2.49E-28,2.34E-10,4.25E-10,2.59E-09,1.90E-07,5.49E-10,9.61E-06,7.53E-13,7.23E-10,6.68E-10,9.25E-14,1.31E-08,1.37E-15,1.37E-21,8.65E-20,4.59E-14,2.18E-08,4.01E-13,0,0,4.66E-25,3.60E-28,0.711411463,1.05E-10
7.86E-04,1912.453802,2.01E-17,9.74E-06,6.74E-08,1.29E-07,3.03E-05,0.121066999,1.27E-12,5.78E-12,8.97E-21,1.42E-18,2.64E-18,1.37E-18,2.38E-18,0.006193576,0.090611461,0.073242062,1.01E-08,3.10E-09,1.12E-15,3.06E-17,5.93E-18,3.54E-27,4.37E-25,1.49E-28,5.21E-30,7.47E-35,1.49E-35,9.09E-21,5.08E-21,8.03E-28,1.08E-10,2.63E-10,2.31E-09,2.76E-07,4.02E-10,4.45E-06,2.23E-14,3.33E-10,3.32E-10,7.88E-14,2.00E-08,1.56E-15,1.17E-21,5.10E-20,3.44E-14,2.65E-08,2.92E-13,0,0,6.49E-25,1.15E-27,0.708840863,2.39E-10
8.19E-04,1862.646764,4.25E-15,7.31E-06,2.39E-08,3.79E-08,1.68E-05,0.118205289,8.69E-14,1.62E-12,3.79E-21,8.85E-19,2.17E-18,1.22E-18,2.27E-18,0.007357544,0.099167075,0.068974425,9.27E-09,4.00E-09,1.21E-15,3.36E-17,6.66E-18,1.26E-27,2.57E-25,9.88E-29,3.56E-30,1.68E-34,2.38E-34,7.18E-21,5.01E-21,4.83E-28,5.75E-13,1.57E-10,1.99E-09,3.86E-07,2.85E-10,2.06E-06,3.96E-15,1.54E-10,1.63E-10,6.74E-14,2.89E-08,1.93E-15,8.22E-22,2.79E-20,2.43E-14,3.12E-08,2.08E-13,0,0,6.33E-25,1.22E-27,0.706268943,2.00E-10
8.53E-04,1813.636781,9.27E-13,5.34E-06,8.39E-09,1.12E-08,9.24E-06,0.115019228,1.99E-14,5.66E-13,7.72E-22,7.57E-19,1.20E-18,1.65E-18,3.38E-17,0.008556974,0.107229441,0.065481775,8.26E-09,4.99E-09,1.36E-15,4.53E-17,2.17E-18,4.77E-28,1.97E-26,6.46E-29,5.57E-30,2.66E-32,5.02E-32,3.27E-21,6.42E-22,7.80E-30,9.86E-15,9.15E-13,1.66E-09,5.26E-07,1.98E-10,9.54E-07,7.99E-16,6.99E-13,1.05E-12,6.45E-14,4.01E-08,2.90E-15,3.24E-22,1.43E-20,1.62E-14,3.61E-08,1.41E-13,0,0,2.28E-25,8.54E-29,0.703696404,4.16E-10
8.86E-04,1765.391013,2.08E-10,3.82E-06,2.88E-09,3.28E-09,5.00E-06,0.111572951,4.80E-15,1.78E-13,3.41E-22,3.98E-19,1.08E-18,1.22E-18,7.34E-15,0.009784882,0.114893337,0.062615197,7.16E-09,6.07E-09,1.30E-15,4.32E-17,2.65E-18,1.42E-28,1.03E-25,3.59E-29,1.15E-27,5.97E-30,1.13E-29,2.73E-21,3.54E-21,2.48E-29,2.68E-15,1.20E-13,1.34E-09,7.00E-07,1.33E-10,4.37E-07,1.56E-16,3.68E-15,1.13E-13,4.83E-14,5.40E-08,3.05E-15,2.39E-22,6.90E-21,1.03E-14,4.10E-08,9.44E-14,0,0,3.39E-25,1.66E-28,0.701123558,1.81E-10
