p x y z
0 0.20000000000000001 0 0
1 0.30000000000000004 0 0
2 0.20000000000000001 0.10000000000000001 0
3 0.30000000000000004 0.10000000000000001 0
4 0.20000000000000001 0 0.10000000000000001
5 0.30000000000000004 0 0.10000000000000001
6 0.20000000000000001 0.10000000000000001 0.10000000000000001
7 0.30000000000000004 0.10000000000000001 0.10000000000000001
