phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,C(gr)
0.3,2553.3248069688366,0.0024068096703706095,0.0015704292741858929,0.014645765727461832,0.5982043312891452,0.034452818387663404,0.2404219120660555,5.551813685299179e-05,1.4597872998336125e-06,5.673914542830539e-16,2.9396461869651964e-17,1.5920000070190198e-17,1.2459550120248194e-18,1.482008443592941e-17,1.287038025904062e-18,0.007782243461921654,0.12265253756094724,1.5911298248963613e-09,7.43759735950594e-12,3.6218120149580797e-17,7.207419805423293e-19,6.59914404870158e-19,4.502033078484495e-24,8.623133325117137e-23,8.200692864652745e-28,1.2378279696226761e-28,1.6926410857417238e-33,2.443928630722367e-35,4.8274506989721423e-20,1.0902202560238187e-20,2.703287674304528e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.702999294999748e-50,1.0394745381781177e-51,5.88320478828481e-26,2.5034562654898754e-27,0.0
0.3653061224489796,2692.9671005862488,0.005488824372069973,0.004186111695791173,0.0258536829604968,0.5233039524156025,0.053170564068197326,0.27468060541229083,7.433663226064849e-05,2.031473428052002e-06,1.1107430361865763e-14,6.36456561184916e-16,3.0634497646301794e-16,2.6235775259086476e-17,2.347441489056734e-16,1.8044378380882263e-17,0.01823942843082849,0.1362040492224722,8.084797514343574e-09,3.910500114000637e-11,3.59449782485168e-16,7.747922051334937e-18,6.1584828823927735e-18,3.022690179767432e-22,3.790195644882156e-21,6.295714917974965e-26,7.776201419752002e-27,1.861756513920146e-31,2.4613535460367766e-33,1.1466043493976055e-18,2.246349556660596e-19,7.737881316874216e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11373645851042e-47,7.529277847232797e-49,2.1457020597129332e-24,8.589305524742328e-26,0.0
0.4306122448979592,2787.567931643901,0.009686521835822987,0.007949172163480575,0.035946665722868476,0.4558425982334612,0.06963303012523737,0.30580078378480824,8.640306807888645e-05,2.477284195500525e-06,7.488342710789602e-14,4.679609770472814e-15,2.142785650636397e-15,1.9406652669486285e-16,1.4916565212383482e-15,1.0914090528362335e-16,0.03189160809006662,0.14527041709540642,2.3409942856360544e-08,1.1855051262360552e-10,1.6557570145071215e-15,3.7534660377900583e-17,2.798900666955139e-17,4.73684442841762e-21,4.680164978001335e-20,1.125236927698199e-24,1.2580459422088432e-25,4.36822356481481e-30,5.605195043554643e-32,9.129730542653452e-18,1.678763066628115e-18,7.095968064003109e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4257889529087634e-45,6.472757347468404e-47,2.3417106259069035e-23,9.252063510310328e-25,0.0
0.4959183673469388,2855.9888075215217,0.01490354069742911,0.012624454703587817,0.044084058274265064,0.39539757231833206,0.08349186659230137,0.33437247487158983,9.295297712055497e-05,2.8051161467296485e-06,2.8905366289788327e-13,1.9523835517670183e-14,8.798746139892557e-15,8.278703789144797e-16,5.846009438777655e-15,4.2178832320012574e-16,0.04770197647350071,0.15098971457691046,5.031924468270188e-08,2.6792101213514377e-10,5.070550169032379e-15,1.190115062292471e-16,8.654388028407949e-17,3.4560098263092804e-20,2.9574477615378545e-19,9.319449989692784e-24,9.920267527007447e-25,4.521714838292609e-29,5.793524843080811e-31,4.083440156551647e-17,7.327801060801049e-18,3.562409952207502e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5082009280268187e-43,1.794205080661713e-45,1.348214881673554e-22,5.3800066168347465e-24,0.0
0.5612244897959184,2907.6331886324338,0.02109811327629813,0.01801090375114231,0.0501168596952157,0.3413242049517594,0.09480967119752581,0.36068792575816644,9.522327375329468e-05,3.0280886541303363e-06,8.012750151254565e-13,5.81391481409607e-14,2.6295290559766372e-14,2.5433887501088296e-15,1.7154931090359893e-14,1.2449137013621414e-15,0.06495330221581638,0.1541701128065282,9.045285666905416e-08,5.071870989476724e-10,1.2143922137274009e-14,2.923535805826357e-16,2.1198068860060958e-16,1.6003228416672968e-19,1.2533906841198547e-18,4.877406632257643e-23,5.088912481469244e-24,2.8680128462203954e-28,3.7280936982700795e-30,1.2945030193615625e-16,2.3180554234431107e-17,1.247169664601831e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0927372657577583e-42,2.523427528315497e-44,5.291710405987516e-22,2.1601143284430655e-23,0.0
0.6265306122448979,2947.636550738969,0.02826303971141701,0.02394232991206794,0.054145037055077096,0.29299908795577156,0.10373566455152658,0.38492609636469216,9.422330701347372e-05,3.158988520328861e-06,1.7904502040021624e-12,1.3896465479196145e-13,6.387468180533197e-14,6.307629056279123e-15,4.1671339900826823e-14,3.0798861661127928e-15,0.08315654716870402,0.15538254592366285,1.4459752295495267e-07,8.545086000064302e-10,2.474412470783014e-14,6.072116768163168e-16,4.453251832037422e-16,5.514613137296278e-19,4.097018440115247e-18,1.8932942341275414e-22,1.9727697804030713e-23,1.321668192000071e-27,1.7606870407124044e-29,3.2790597834825145e-16,5.943267105419245e-17,3.4507552752396155e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8462359123965963e-41,2.2799181488271557e-43,1.6170657149587317e-21,6.807007601063957e-23,0.0
0.6918367346938776,2979.024356820079,0.03641545978282157,0.03027618966566141,0.056353040714236274,0.24987194663916396,0.11042547478306715,0.40721079029268814,9.0755117033294e-05,3.2094729510312756e-06,3.4421787386181303e-12,2.8495418923438853e-13,1.3431608893194843e-13,1.3475994647919329e-14,8.876676548464438e-14,6.740881856979307e-15,0.10197246823157584,0.15504020608458907,2.129127704041144e-07,1.3269002220686112e-09,4.5020959677127907e-14,1.1212017349309161e-15,8.402242097023236e-16,1.5483354271546693e-18,1.1191098359244332e-17,5.975361135540285e-22,6.300812840397491e-23,4.881370038101806e-27,6.712405295519526e-29,7.107293351990083e-16,1.317109913612165e-16,8.107266299097984e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1905196492442772e-40,1.5167690545304875e-42,4.152412434383477e-21,1.812875616513375e-22,0.0
0.7571428571428571,3003.6787305238618,0.0455923883150248,0.03688365512057152,0.056948680522241966,0.21146803049293217,0.1150219781171471,0.4276315230628883,8.546073350266584e-05,3.1901112148534073e-06,5.9239781358899286e-12,5.221047519779239e-13,2.541738396855657e-13,2.581542830552725e-14,1.7187491753129458e-13,1.350281837047594e-14,0.12116084318709736,0.15345025875556528,2.950844286949976e-07,1.940906668797226e-09,7.537836628766599e-14,1.898751211909355e-15,1.4656109630937709e-15,3.745261246086451e-18,2.6848043508076996e-17,1.6232049513502634e-21,1.749955430900403e-22,1.5361337118502178e-26,2.19289752019099e-28,1.3750518095675115e-15,2.626046181604448e-16,1.690909199710886e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.121870831259546e-40,8.093701843825054e-42,9.395410613271039e-21,4.273908754109902e-22,0.0
0.8224489795918368,3022.8103159426396,0.05584917532087274,0.04364191462121453,0.0561408030266973,0.17737874466055106,0.11765279186394095,0.4462517659927487,7.886190605890618e-05,3.110567409364403e-06,9.361749278702955e-12,8.77580757958636e-13,4.439670295535581e-13,4.551606726120015e-14,3.097695828910357e-13,2.5324594264926985e-14,0.1405484700023324,0.15084665386197027,3.9041651969435446e-07,2.7132348300984324e-09,1.184608869080694e-13,3.0101942331659794e-15,2.409587824889293e-15,8.094278386006874e-18,5.8460452782138e-17,3.940676917294653e-21,4.380994624022139e-22,4.2899253425127214e-26,6.389387851054118e-28,2.441209527617547e-15,4.836942911062158e-16,3.2237433245185595e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6600365098982282e-39,3.6680862882254444e-41,1.932765195021343e-20,9.198641201164073e-22,0.0
0.8877551020408163,3037.206011646095,0.06725955913351245,0.050428024628607425,0.05413224290440583,0.14725063617162232,0.11843270997403921,0.4631121358043461,7.138959499526904e-05,2.9797945603671977e-06,1.3817574453878602e-11,1.3774179266297783e-12,7.283036752907382e-13,7.518861290623378e-14,5.283248540078472e-13,4.519206081473457e-14,0.16000857704575341,0.1474114161278965,4.978756966437586e-07,3.661344793989202e-09,1.7714751456490775e-13,4.5309286257255926e-15,3.7849501809635416e-15,1.6023327601139048e-17,1.182041387842331e-16,8.77541242775155e-21,1.0138601593730271e-21,1.093841241864491e-25,1.707839032808516e-27,4.0531278257308915e-15,8.383499967228961e-16,5.732723362180801e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0171067865806389e-38,1.4699560868345793e-40,3.6941978447208824e-20,1.84693544787076e-21,0.0
